"id","url","page","nama_mobil","listing_id"
966,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sumatera-utara?page_size=25&page_number=22",22,"indonesia_sumatera-utara?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sumatera-utara?page_size=25&page_number=22"
967,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_bali?page_size=25&page_number=22",22,"indonesia_bali?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_bali?page_size=25&page_number=22"
968,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_lampung?page_size=25&page_number=22",22,"indonesia_lampung?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_lampung?page_size=25&page_number=22"
969,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_gorontalo?page_size=25&page_number=22",22,"indonesia_gorontalo?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_gorontalo?page_size=25&page_number=22"
970,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_riau?page_size=25&page_number=22",22,"indonesia_riau?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_riau?page_size=25&page_number=22"
971,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sumatera-selatan?page_size=25&page_number=22",22,"indonesia_sumatera-selatan?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sumatera-selatan?page_size=25&page_number=22"
972,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sumatera-barat?page_size=25&page_number=22",22,"indonesia_sumatera-barat?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sumatera-barat?page_size=25&page_number=22"
973,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_jambi?page_size=25&page_number=22",22,"indonesia_jambi?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_jambi?page_size=25&page_number=22"
974,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-selatan?page_size=25&page_number=22",22,"indonesia_sulawesi-selatan?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-selatan?page_size=25&page_number=22"
975,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_nangroe-aceh-darussalam?page_size=25&page_number=22",22,"indonesia_nangroe-aceh-darussalam?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_nangroe-aceh-darussalam?page_size=25&page_number=22"
976,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-utara?page_size=25&page_number=22",22,"indonesia_sulawesi-utara?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-utara?page_size=25&page_number=22"
977,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_kalimantan-timur?page_size=25&page_number=22",22,"indonesia_kalimantan-timur?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_kalimantan-timur?page_size=25&page_number=22"
978,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_nusa-tenggara-barat?page_size=25&page_number=22",22,"indonesia_nusa-tenggara-barat?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_nusa-tenggara-barat?page_size=25&page_number=22"
979,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-tengah?page_size=25&page_number=22",22,"indonesia_sulawesi-tengah?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-tengah?page_size=25&page_number=22"
980,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_kalimantan-barat?page_size=25&page_number=22",22,"indonesia_kalimantan-barat?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_kalimantan-barat?page_size=25&page_number=22"
981,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_maluku?page_size=25&page_number=22",22,"indonesia_maluku?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_maluku?page_size=25&page_number=22"
982,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_maluku-utara?page_size=25&page_number=22",22,"indonesia_maluku-utara?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_maluku-utara?page_size=25&page_number=22"
983,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-barat?page_size=25&page_number=22",22,"indonesia_sulawesi-barat?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-barat?page_size=25&page_number=22"
984,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-tenggara?page_size=25&page_number=22",22,"indonesia_sulawesi-tenggara?page_size=25&page_number=22","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-tenggara?page_size=25&page_number=22"
985,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_number=23&page_size=25",23,"indonesia?page_number=23&page_size=25","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_number=23&page_size=25"
986,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23",23,"indonesia?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23"
987,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?transmission=automatic&page_size=25&page_number=23",23,"indonesia?transmission=automatic&page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?transmission=automatic&page_size=25&page_number=23"
988,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?transmission=manual&page_size=25&page_number=23",23,"indonesia?transmission=manual&page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?transmission=manual&page_size=25&page_number=23"
989,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=best.match",23,"indonesia?page_size=25&page_number=23&sort=best.match","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=best.match"
990,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=modification_date_search.desc",23,"indonesia?page_size=25&page_number=23&sort=modification_date_search.desc","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=modification_date_search.desc"
991,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=price.asc",23,"indonesia?page_size=25&page_number=23&sort=price.asc","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=price.asc"
992,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=price.desc",23,"indonesia?page_size=25&page_number=23&sort=price.desc","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=price.desc"
993,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=year.desc",23,"indonesia?page_size=25&page_number=23&sort=year.desc","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=year.desc"
994,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=year.asc",23,"indonesia?page_size=25&page_number=23&sort=year.asc","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=year.asc"
995,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=mileage.asc",23,"indonesia?page_size=25&page_number=23&sort=mileage.asc","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=mileage.asc"
996,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=mileage.desc",23,"indonesia?page_size=25&page_number=23&sort=mileage.desc","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia?page_size=25&page_number=23&sort=mileage.desc"
997,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_jabodetabek?page_size=25&page_number=23",23,"indonesia_jabodetabek?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_jabodetabek?page_size=25&page_number=23"
998,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_dki-jakarta?page_size=25&page_number=23",23,"indonesia_dki-jakarta?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_dki-jakarta?page_size=25&page_number=23"
999,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_banten?page_size=25&page_number=23",23,"indonesia_banten?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_banten?page_size=25&page_number=23"
1000,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_jawa-barat?page_size=25&page_number=23",23,"indonesia_jawa-barat?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_jawa-barat?page_size=25&page_number=23"
1001,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_jawa-timur?page_size=25&page_number=23",23,"indonesia_jawa-timur?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_jawa-timur?page_size=25&page_number=23"
1002,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_jawa-tengah?page_size=25&page_number=23",23,"indonesia_jawa-tengah?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_jawa-tengah?page_size=25&page_number=23"
1003,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_yogyakarta?page_size=25&page_number=23",23,"indonesia_yogyakarta?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_yogyakarta?page_size=25&page_number=23"
1004,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sumatera-utara?page_size=25&page_number=23",23,"indonesia_sumatera-utara?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sumatera-utara?page_size=25&page_number=23"
1005,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_bali?page_size=25&page_number=23",23,"indonesia_bali?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_bali?page_size=25&page_number=23"
1006,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_lampung?page_size=25&page_number=23",23,"indonesia_lampung?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_lampung?page_size=25&page_number=23"
1007,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_gorontalo?page_size=25&page_number=23",23,"indonesia_gorontalo?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_gorontalo?page_size=25&page_number=23"
1008,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_riau?page_size=25&page_number=23",23,"indonesia_riau?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_riau?page_size=25&page_number=23"
1009,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sumatera-selatan?page_size=25&page_number=23",23,"indonesia_sumatera-selatan?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sumatera-selatan?page_size=25&page_number=23"
1010,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sumatera-barat?page_size=25&page_number=23",23,"indonesia_sumatera-barat?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sumatera-barat?page_size=25&page_number=23"
1011,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_jambi?page_size=25&page_number=23",23,"indonesia_jambi?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_jambi?page_size=25&page_number=23"
1012,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-selatan?page_size=25&page_number=23",23,"indonesia_sulawesi-selatan?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-selatan?page_size=25&page_number=23"
1013,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_nangroe-aceh-darussalam?page_size=25&page_number=23",23,"indonesia_nangroe-aceh-darussalam?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_nangroe-aceh-darussalam?page_size=25&page_number=23"
1014,"https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-utara?page_size=25&page_number=23",23,"indonesia_sulawesi-utara?page_size=25&page_number=23","https://www.carmudi.co.id/mobil-bekas-dijual/indonesia_sulawesi-utara?page_size=25&page_number=23"
